# ----------------------------------------
# gd-math-71c48
# Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

,Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals,Totals
,Event name,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals,Totals,Totals,Totals
levelID,segment,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount
cowBananaTable4AL,training,8,0,0,40,8,5,6,314,52.333333333333336,30,30,5,1,7,7,5,2,5,8,321,21.4,75,40,5
numberDiceMatching2AL,training,8,0,0,39,8,4.875,6,295,49.166666666666664,29,29,4.833333333333333,1,15,15,5,2,5,8,310,20.666666666666668,73,39,4.866666666666666
simpleIdentificationAnimalsOverall,speedrun,8,0,0,80,8,10,7,448,64,70,70,10,0,0,0,0,0,0,8,448,29.866666666666667,150,78,10
simpleIdentificationVegetablesSet3,training,8,0,0,90,9,10,5,511,102.2,50,49,10,2,112,56,20,14,10,8,623,38.9375,160,72,10
sortBirdsAndAnimalsInsectsAquatic,training,7,0,0,130,13,10,5,1113,159,70,68,10,3,120,40,30,8,10,7,1233,53.608695652173914,230,89,10
stackVegetablesAndFruitsSet1,speedrun,7,0,0,140,14,10,6,1159,128.77777777777777,90,63,10,2,53,26.5,20,4,10,7,1212,48.48,250,81,10
matchCountNumber1To3,speedrun,6,0,0,110,11,10,6,1217,135.22222222222223,90,47,10,2,191,95.5,20,3,10,6,1408,64,220,61,10
simpleIdentificationOfLines,training,7,0,0,90,9,10,6,1041,173.5,60,60,10,1,340,170,20,6,10,7,1381,81.23529411764706,170,75,10
stackRectangleAndTriangle,speedrun,7,0,0,90,9,10,6,960,120,80,61,10,1,7,7,10,3,10,7,967,53.72222222222222,180,73,10
moneyComposition1And2ForNumbers,speedrun,6,0,0,48,12,4,5,540,60,36,28,4,2,48,24,8,3,4,6,588,25.565217391304348,92,43,4
orderUpToThreeNumber,training,7,0,0,60,10,6,5,310,51.666666666666664,36,31,6,1,10,5,12,2,6,7,320,17.77777777777778,108,43,6
patternWithEmptyAndFilledShapes,training,7,0,0,48,8,6,4,330,82.5,24,24,6,2,266,133,12,11,6,7,596,42.57142857142857,84,43,6
simpleIdentificationToysOverall,speedrun,6,0,0,80,8,10,6,285,40.714285714285715,70,51,10,1,105,105,10,3,10,6,390,24.375,160,62,10
cowBananaTable4AL,speedrun,6,0,0,30,6,5,6,217,36.166666666666664,30,30,5,0,0,0,0,0,0,6,217,18.083333333333332,60,36,5
matchCornersOfObjects,speedrun,6,0,0,140,14,10,6,340,26.153846153846153,130,94,10,0,0,0,0,0,0,6,340,12.592592592592593,270,108,10
matchMirrorImage,speedrun,6,0,0,60,6,10,6,180,30,60,45,10,0,0,0,0,0,0,6,180,15,120,51,10
mergeAndMatchTensAndOnesUpTo50,training,7,0,0,90,9,10,0,0,0,0,0,0,5,837,167.4,50,5,10,7,837,59.785714285714285,140,14,10
numberDiceMatching2AL,speedrun,6,0,0,29,6,4.833333333333333,6,200,33.333333333333336,29,29,4.833333333333333,0,0,0,0,0,0,6,200,16.666666666666668,58,35,4.833333333333333
orderUpToNineAudio,training,6,0,0,70,7,10,3,156,52,30,27,10,3,2399,799.6666666666666,30,17,10,6,2555,196.53846153846155,130,51,10
simpleIdentificationToysOverall,training,6,0,0,70,7,10,6,387,55.285714285714285,70,61,10,0,0,0,0,0,0,6,387,27.642857142857142,140,68,10
sortingIntroducedCategories,speedrun,7,0,0,100,10,10,5,317,52.833333333333336,60,54,10,0,0,0,0,0,0,7,317,19.8125,160,64,10
descendingOrdering1to999by50AL,training,6,0,0,30,6,5,3,264,88,15,15,5,2,129,64.5,10,2,5,6,393,35.72727272727273,55,23,5
